MJD GSC_ch1
55058.5 0.054
55059.5 0.054
55060.5 0.059
55061.5 0.047
55062.5 0.059
55063.5 0.059
55064.5 0.051
55065.5 0.038
55066.5 0.053
55067.5 0.055
55068.5 0.053
55069.5 0.060
55070.5 0.051
55071.5 0.000
55072.5 0.000
55073.5 0.041
55074.5 0.042
55075.5 0.059
55076.5 0.038
55077.5 0.056
55078.5 0.051
55079.5 0.058
55080.5 0.037
55081.5 0.066
55082.5 0.045
55083.5 0.056
55084.5 0.034
55085.5 0.043
55086.5 0.049
55087.5 0.044
55088.5 0.056
55089.5 0.050
55090.5 0.000
55091.5 0.000
55092.5 0.000
55093.5 0.000
55094.5 0.000
55095.5 0.000
55096.5 0.000
55097.5 0.000
55098.5 0.000
55099.5 0.000
55100.5 0.000
55101.5 0.000
55102.5 -0.005
55103.5 0.000
55104.5 0.000
55105.5 0.000
55106.5 0.000
55107.5 0.000
55108.5 0.000
55109.5 0.000
55110.5 0.000
55111.5 0.000
55112.5 0.029
55113.5 0.000
55114.5 0.010
55115.5 0.040
55116.5 0.062
55117.5 0.046
55118.5 0.030
55119.5 0.063
55120.5 0.049
55121.5 0.058
55122.5 0.058
55123.5 0.073
55124.5 0.051
55125.5 0.044
55126.5 0.064
55127.5 0.040
55128.5 0.059
55129.5 0.043
55130.5 0.054
55131.5 0.040
55132.5 0.050
55133.5 0.069
55134.5 0.041
55135.5 0.041
55136.5 0.065
55137.5 0.065
55138.5 0.056
55139.5 0.085
55140.5 0.057
55141.5 0.059
55142.5 0.057
55143.5 0.063
55144.5 0.055
55145.5 0.047
55146.5 0.056
55147.5 0.034
55148.5 0.069
55149.5 0.058
55150.5 0.068
55151.5 0.070
55152.5 0.044
55153.5 0.039
55154.5 0.056
55155.5 0.048
55156.5 0.073
55157.5 0.051
55158.5 0.063
55159.5 0.054
55160.5 0.050
55161.5 0.000
55162.5 0.000
55163.5 0.000
55164.5 0.000
55165.5 0.000
55166.5 0.000
55167.5 0.000
55168.5 0.000
55169.5 0.041
55170.5 0.000
55171.5 0.000
55172.5 0.000
55173.5 0.000
55174.5 0.000
55175.5 0.000
55176.5 0.000
55177.5 0.000
55178.5 0.000
55179.5 0.000
55180.5 0.000
55181.5 0.000
55182.5 0.057
55183.5 0.071
55184.5 0.053
55185.5 0.066
55186.5 0.072
55187.5 0.054
55188.5 0.054
55189.5 0.064
55190.5 0.073
55191.5 0.054
55192.5 0.104
55193.5 0.054
55194.5 0.036
55195.5 0.053
55196.5 0.043
55197.5 0.057
55198.5 0.063
55199.5 0.052
55200.5 0.059
55201.5 0.060
55202.5 0.095
55203.5 0.073
55204.5 0.070
55205.5 0.062
55206.5 0.064
55207.5 0.080
55208.5 0.058
55209.5 0.080
55210.5 0.057
55211.5 0.056
55212.5 0.065
55213.5 0.068
55214.5 0.051
55215.5 0.053
55216.5 0.059
55217.5 0.085
55218.5 0.070
55219.5 0.051
55220.5 0.064
55221.5 0.063
55222.5 0.081
55223.5 0.076
55224.5 0.059
55225.5 0.049
55226.5 0.000
55227.5 0.000
55228.5 0.000
55229.5 0.000
55230.5 0.000
55231.5 0.000
55232.5 0.000
55233.5 0.000
55234.5 0.000
55235.5 0.000
55236.5 0.000
55237.5 0.000
55238.5 0.000
55239.5 0.000
55240.5 0.000
55241.5 0.000
55242.5 0.000
55243.5 0.000
55244.5 0.000
55245.5 0.000
55246.5 0.049
55247.5 0.000
55248.5 0.000
55249.5 0.000
55250.5 0.000
55251.5 0.000
55252.5 0.073
55253.5 0.064
55254.5 0.064
55255.5 0.062
55256.5 0.068
55257.5 0.064
55258.5 0.040
55259.5 0.078
55260.5 0.089
55261.5 0.063
55262.5 0.064
55263.5 0.072
55264.5 0.079
55265.5 0.043
55266.5 0.078
55267.5 0.085
55268.5 0.043
55269.5 0.075
55270.5 0.069
55271.5 0.083
55272.5 0.070
55273.5 0.064
55274.5 0.070
55275.5 0.075
55276.5 0.054
55277.5 0.079
55278.5 0.069
55279.5 0.067
55280.5 0.061
55281.5 0.073
55282.5 0.058
55283.5 0.063
55284.5 0.042
55285.5 0.074
55286.5 0.075
55287.5 0.061
55288.5 0.057
55289.5 0.042
55290.5 0.057
55291.5 0.073
55292.5 0.072
55293.5 0.063
55294.5 0.047
55295.5 0.056
55296.5 0.061
55297.5 0.056
55298.5 0.073
55299.5 0.021
