MJD GSC_ch1
58155.5 0.037
58156.5 0.035
58157.5 0.032
58158.5 0.028
58159.5 0.045
58160.5 0.037
58161.5 0.027
58162.5 0.026
58163.5 0.015
58164.5 0.029
58165.5 0.025
58166.5 0.044
58167.5 0.055
58168.5 0.032
58169.5 0.026
58170.5 0.041
58171.5 0.033
58172.5 0.049
58173.5 0.048
58174.5 0.042
58175.5 0.000
58176.5 0.000
58177.5 0.000
58178.5 0.000
58179.5 0.000
58180.5 0.000
58181.5 0.000
58182.5 0.000
58183.5 0.000
58184.5 0.000
58185.5 0.000
58186.5 0.000
58187.5 0.000
58188.5 0.000
58189.5 0.000
58190.5 0.000
58191.5 0.000
58192.5 0.000
58193.5 0.000
58194.5 0.000
58195.5 0.000
58196.5 0.000
58197.5 0.000
58198.5 0.000
58199.5 0.000
58200.5 0.064
58201.5 0.058
58202.5 0.036
58203.5 0.021
58204.5 0.065
58205.5 0.047
58206.5 0.028
58207.5 0.041
58208.5 0.038
58209.5 0.043
58210.5 0.034
58211.5 0.035
58212.5 0.020
58213.5 0.032
58214.5 0.032
58215.5 0.033
58216.5 0.023
58217.5 0.038
58218.5 0.043
58219.5 0.035
58220.5 0.047
58221.5 0.046
58222.5 0.037
58223.5 0.023
58224.5 0.027
58225.5 0.029
58226.5 0.045
58227.5 0.040
58228.5 0.033
58229.5 0.044
58230.5 0.044
58231.5 0.038
58232.5 0.024
58233.5 0.028
58234.5 0.029
58235.5 0.025
58236.5 0.000
58237.5 0.000
58238.5 0.000
58239.5 0.000
58240.5 0.000
58241.5 0.000
58242.5 0.000
58243.5 0.000
58244.5 0.000
58245.5 0.000
58246.5 0.000
58247.5 0.000
58248.5 0.000
58249.5 0.000
58250.5 0.000
58251.5 0.000
58252.5 0.000
58253.5 0.000
58254.5 0.000
58255.5 0.000
58256.5 0.000
58257.5 0.000
58258.5 0.000
58259.5 0.000
58260.5 0.000
58261.5 0.000
58262.5 0.000
58263.5 0.000
58264.5 0.000
58265.5 0.000
58266.5 0.000
58267.5 0.000
58268.5 0.000
58269.5 0.000
58270.5 0.000
58271.5 0.000
58272.5 0.000
58273.5 0.000
58274.5 0.000
58275.5 0.000
58276.5 0.000
58277.5 0.000
58278.5 0.000
58279.5 0.005
58280.5 0.049
58281.5 0.037
58282.5 0.040
58283.5 0.035
58284.5 0.028
58285.5 0.026
58286.5 0.040
58287.5 0.051
58288.5 0.043
58289.5 0.033
58290.5 0.036
58291.5 0.025
58292.5 0.046
58293.5 0.048
58294.5 0.033
58295.5 0.047
58296.5 0.031
58297.5 0.043
58298.5 0.032
58299.5 0.029
58300.5 0.028
58301.5 0.039
58302.5 0.040
58303.5 0.031
58304.5 0.032
58305.5 0.020
58306.5 0.046
58307.5 0.045
58308.5 0.021
58309.5 0.045
58310.5 0.029
58311.5 0.042
58312.5 0.047
58313.5 0.036
58314.5 0.027
58315.5 0.024
58316.5 0.036
58317.5 0.027
58318.5 0.056
58319.5 0.040
58320.5 0.000
58321.5 0.000
58322.5 0.000
58323.5 0.000
58324.5 0.000
58325.5 0.000
58326.5 0.000
58327.5 0.000
58328.5 0.000
58329.5 0.000
58330.5 0.000
58331.5 0.000
58332.5 0.000
58333.5 0.000
58334.5 0.000
58335.5 0.000
58336.5 0.000
58337.5 0.000
58338.5 0.000
58339.5 0.000
58340.5 0.000
58341.5 0.000
58342.5 0.000
58343.5 0.000
58344.5 0.000
58345.5 0.052
58346.5 0.038
58347.5 0.028
58348.5 0.037
58349.5 0.031
58350.5 0.036
58351.5 0.017
58352.5 0.023
58353.5 0.003
58354.5 0.048
58355.5 0.038
58356.5 0.000
58357.5 0.053
58358.5 0.038
58359.5 0.030
58360.5 0.035
58361.5 0.014
58362.5 0.016
58363.5 0.025
58364.5 0.035
58365.5 0.023
58366.5 -0.006
58367.5 0.024
