MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55058.5  0.054 0.004  0.062 0.005  0.013 0.006 		 0.000638 0.000134  0.000405 0.000129  0.000281 0.000105 -0.000140 0.000061 		   0.005243    0.002009
55059.5  0.054 0.005  0.060 0.005  0.016 0.006 		 0.000545 0.000134  0.000881 0.000140  0.000373 0.000114 -0.000094 0.000074 		   0.006866    0.002185
55060.5  0.059 0.005  0.062 0.005  0.024 0.006 		 0.000844 0.000063  0.000737 0.000068  0.000317 0.000056  0.000014 0.000041 		   0.005390    0.001055
55061.5  0.047 0.004  0.062 0.004  0.020 0.006 		 0.000604 0.000186  0.000626 0.000193  0.000453 0.000157  0.000135 0.000098 		   0.009614    0.003435
55062.5  0.059 0.004  0.060 0.004  0.014 0.006 		 0.000922 0.000205  0.000653 0.000211  0.000454 0.000177  0.000061 0.000109 		   0.007681    0.003056
55063.5  0.059 0.004  0.054 0.004  0.027 0.006 		 0.000677 0.000073  0.000708 0.000080  0.000316 0.000070  0.000085 0.000053 		   0.005396    0.001264
55064.5  0.051 0.005  0.054 0.005  0.025 0.006 		 0.000797 0.000075  0.000763 0.000076  0.000429 0.000063  0.000069 0.000039 		   0.008348    0.001433
55065.5  0.038 0.005  0.058 0.005  0.015 0.007 		 0.000662 0.000115  0.000369 0.000111  0.000263 0.000089 -0.000059 0.000050 		   0.006927    0.002491
55066.5  0.053 0.004  0.062 0.004  0.026 0.006 		 0.000695 0.000060  0.000584 0.000063  0.000405 0.000052  0.000005 0.000036 		   0.007664    0.001168
55067.5  0.055 0.005  0.050 0.004  0.028 0.006 		 0.000424 0.000057  0.000742 0.000062  0.000350 0.000052 -0.000026 0.000039 		   0.006382    0.001090
55068.5  0.053 0.004  0.054 0.004  0.013 0.006 		 0.000532 0.000067  0.000682 0.000072  0.000377 0.000060 -0.000045 0.000043 		   0.007112    0.001280
55069.5  0.060 0.004  0.062 0.004  0.019 0.006 		 0.000852 0.000053  0.000584 0.000058  0.000265 0.000050 -0.000024 0.000040 		   0.004438    0.000903
55070.5  0.051 0.004  0.059 0.004  0.011 0.006 		 0.000760 0.000060  0.000533 0.000061  0.000349 0.000050  0.000011 0.000031 		   0.006815    0.001129
55071.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000974 0.000076  0.000606 0.000078  0.000358 0.000064 -0.000017 0.000042 		-100.000000    0.000000
55072.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000574 0.000152  0.000685 0.000153  0.000439 0.000126  0.000055 0.000076 		-100.000000    0.000000
55073.5  0.041 0.005  0.040 0.006  0.011 0.008 		-0.000073 0.000284  0.000286 0.000265  0.000091 0.000203  0.000020 0.000107 		   0.002235    0.004990
